"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","actualPoints","salary"
2506109,"Ben Roethlisberger","PIT","QB",36,14,7,20.3132027502037,18.5550127572016,21.8939923878085,1.30874323841118,1,0.533122040335776,1,3.33897963060686,NA,1,0.2,4.27825274782592,NA,NA,NA
2558063,"Deshaun Watson","HOU","QB",23,1,10,19.8072037192889,16.1048696844993,21.2117704076581,1.80815379199938,2,0.144463792847741,2,5.10690072315883,NA,6.8,1.7,9.56366767423821,NA,NA,NA
2495455,"Cam Newton","CAR","QB",29,7,4,19.7529577004471,18.2186996178718,21.3580896799836,1.60506617026235,3,0.278602552046454,2,3.1393900621118,NA,2.9,1.2,7.73107378007667,NA,NA,NA
310,"Matt Ryan","ATL","QB",33,10,8,19.5725221524352,18.3453739368999,20.9565522855237,1.17466472376869,4,0.211617123282082,2,2.61117834862386,NA,3.9,1.5,7.76301130251214,NA,NA,NA
2506363,"Aaron Rodgers","GB","QB",35,13,7,19.376188144366,14.1417393689986,20.7188104736498,2.1225694997414,5,0.0541594120666424,2,6.57707110465116,NA,8,1.6,9.88350000338746,NA,NA,NA
2504211,"Tom Brady","NE","QB",41,18,11,19.3456219139402,17.7441563786008,21.1270603444265,1.56643480383638,6,0.32772437768601,3,3.38290396582573,NA,4.4,1.3,7.94438841047334,NA,NA,NA
2506121,"Philip Rivers","LAC","QB",37,14,8,19.2984355506585,17.7256,21.4122797016138,2.24008065069414,7,0.652150585632953,3,3.68667970161378,NA,7,1.9,10.9746634921394,NA,NA,NA
2552475,"Todd Gurley","LAR","RB",24,3,12,19.0830524301352,18.1225664259364,20.1915660828787,0.950814985802737,1,1.99573810197202,1,2.06899965694231,NA,1.1,0.2,4.37197384189192,NA,NA,NA
2506340,"Alex Smith","WAS","QB",34,13,4,18.7373595218499,17.52,19.8132808964875,1.20316050626423,8,0.245090645729466,4,2.29328089648751,NA,14,1.6,8.10609630050727,NA,NA,NA
2539978,"Jon Bostic","PIT","LB",27,5,7,18.6779457492193,1.12,36.8758873106061,24.5433222659032,1,9.52800573542024,1,35.7558873106061,NA,37.3,9.7,4.97388051941879,NA,NA,NA
2504775,"Drew Brees","NO","QB",39,17,6,18.5552104082013,15.3618957475995,20.664435457362,1.87358655503275,9,0.298696662729576,4,5.30253970976253,NA,3.9,1.5,9.11416868701231,NA,NA,NA
